# ---------------------------------- WARNING ----------------------------------------,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,
# have not received Director's approval and as such are provisional and subject to,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2016-10-24 15:14:59 EDT       (vaww01),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 50065500 RIO MAMEYES NR SABANA, PR",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 50065500,,,,
#            TS   parameter     statistic     Description,,,,
"#        123613       00060     00003     Discharge, cubic feet per second (Mean)",,,,
"#        123614       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)",,,,
"#        123615       80155     00003     Suspended sediment discharge, short tons per day (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:#     A  Approved for publication -- Processing and review completed.  ,,,,
#     e  Value has been estimated.  ,,,,
# ,,,,
agency_cd,site_no,datetime,CFS,CFS_code
USGS,50065500,6/13/2009,172,A
USGS,50065500,6/14/2009,72,A
USGS,50065500,6/15/2009,53,A
USGS,50065500,6/16/2009,68,A
USGS,50065500,6/17/2009,70,A
USGS,50065500,6/18/2009,59,A
USGS,50065500,6/19/2009,47,A
USGS,50065500,6/20/2009,81,A
USGS,50065500,6/21/2009,45,A
USGS,50065500,6/22/2009,38,A
USGS,50065500,6/23/2009,33,A
USGS,50065500,6/24/2009,45,A
USGS,50065500,6/25/2009,30,A
USGS,50065500,6/26/2009,27,A
USGS,50065500,6/27/2009,25,A
USGS,50065500,6/28/2009,26,A
USGS,50065500,6/29/2009,27,A
USGS,50065500,6/30/2009,31,A
USGS,50065500,7/1/2009,26,A
USGS,50065500,7/2/2009,23,A
USGS,50065500,7/3/2009,25,A
USGS,50065500,7/4/2009,33,A
USGS,50065500,7/5/2009,79,A
USGS,50065500,7/6/2009,244,A
USGS,50065500,7/7/2009,28,A:e
USGS,50065500,7/8/2009,24,A:e
USGS,50065500,7/9/2009,24,A:e
USGS,50065500,7/10/2009,23,A:e
USGS,50065500,7/11/2009,22,A:e
USGS,50065500,7/12/2009,22,A:e
USGS,50065500,7/13/2009,26,A:e
USGS,50065500,7/14/2009,22,A:e
USGS,50065500,7/15/2009,22,A:e
USGS,50065500,7/16/2009,21,A:e
USGS,50065500,7/17/2009,21,A:e
USGS,50065500,7/18/2009,23,A:e
USGS,50065500,7/19/2009,28,A:e
USGS,50065500,7/20/2009,53,A:e
USGS,50065500,7/21/2009,34,A:e
USGS,50065500,7/22/2009,34,A:e
USGS,50065500,7/23/2009,22,A:e
USGS,50065500,7/24/2009,20,A:e
USGS,50065500,7/25/2009,20,A:e
USGS,50065500,7/26/2009,20,A:e
USGS,50065500,7/27/2009,19,A:e
USGS,50065500,7/28/2009,19,A:e
USGS,50065500,7/29/2009,19,A:e
USGS,50065500,7/30/2009,19,A:e
USGS,50065500,7/31/2009,20,A:e
USGS,50065500,8/1/2009,22,A:e
USGS,50065500,8/2/2009,19,A:e
USGS,50065500,8/3/2009,18,A:e
USGS,50065500,8/4/2009,17,A:e
USGS,50065500,8/5/2009,35,A
USGS,50065500,8/6/2009,49,A
USGS,50065500,8/7/2009,33,A
USGS,50065500,8/8/2009,29,A
USGS,50065500,8/9/2009,32,A
USGS,50065500,8/10/2009,34,A
USGS,50065500,8/11/2009,31,A
USGS,50065500,8/12/2009,61,A
USGS,50065500,8/13/2009,140,A
USGS,50065500,8/14/2009,37,A
USGS,50065500,8/15/2009,39,A
USGS,50065500,8/16/2009,32,A
USGS,50065500,8/17/2009,172,A
USGS,50065500,8/18/2009,43,A
USGS,50065500,8/19/2009,38,A
USGS,50065500,8/20/2009,114,A
USGS,50065500,8/21/2009,40,A
USGS,50065500,8/22/2009,38,A
USGS,50065500,8/23/2009,32,A
USGS,50065500,8/24/2009,94,A
USGS,50065500,8/25/2009,88,A
USGS,50065500,8/26/2009,39,A
USGS,50065500,8/27/2009,35,A
USGS,50065500,8/28/2009,18,A:e
USGS,50065500,8/29/2009,17,A:e
USGS,50065500,8/30/2009,19,A:e
USGS,50065500,8/31/2009,20,A:e
USGS,50065500,9/1/2009,17,A:e
USGS,50065500,9/2/2009,17,A:e
USGS,50065500,9/3/2009,19,A:e
USGS,50065500,9/4/2009,133,A:e
USGS,50065500,9/5/2009,179,A:e
USGS,50065500,9/6/2009,83,A:e
USGS,50065500,9/7/2009,41,A:e
USGS,50065500,9/8/2009,27,A:e
USGS,50065500,9/9/2009,27,A:e
USGS,50065500,9/10/2009,23,A:e
USGS,50065500,9/11/2009,21,A:e
USGS,50065500,9/12/2009,21,A:e
USGS,50065500,9/13/2009,27,A:e
USGS,50065500,9/14/2009,23,A:e
USGS,50065500,9/15/2009,47,A:e
USGS,50065500,9/16/2009,28,A:e
USGS,50065500,9/17/2009,47,A:e
USGS,50065500,9/18/2009,22,A:e
USGS,50065500,9/19/2009,21,A:e
USGS,50065500,9/20/2009,24,A:e
USGS,50065500,9/21/2009,128,A:e
USGS,50065500,9/22/2009,32,A:e
USGS,50065500,9/23/2009,74,A:e
USGS,50065500,9/24/2009,34,A:e
USGS,50065500,9/25/2009,25,A:e
USGS,50065500,9/26/2009,23,A:e
USGS,50065500,9/27/2009,22,A:e
USGS,50065500,9/28/2009,22,A:e
USGS,50065500,9/29/2009,21,A:e
USGS,50065500,9/30/2009,22,A:e
USGS,50065500,10/1/2009,46,A
USGS,50065500,10/2/2009,87,A
USGS,50065500,10/3/2009,43,A
USGS,50065500,10/4/2009,34,A
USGS,50065500,10/5/2009,58,A
USGS,50065500,10/6/2009,34,A
USGS,50065500,10/7/2009,32,A
USGS,50065500,10/8/2009,32,A
USGS,50065500,10/9/2009,63,A
USGS,50065500,10/10/2009,46,A
USGS,50065500,10/11/2009,50,A
USGS,50065500,10/12/2009,186,A
USGS,50065500,10/13/2009,67,A
USGS,50065500,10/14/2009,67,A
USGS,50065500,10/15/2009,115,A
USGS,50065500,10/16/2009,78,A
USGS,50065500,10/17/2009,63,A
USGS,50065500,10/18/2009,55,A
USGS,50065500,10/19/2009,50,A
USGS,50065500,10/20/2009,46,A
USGS,50065500,10/21/2009,44,A
USGS,50065500,10/22/2009,41,A
USGS,50065500,10/23/2009,40,A
USGS,50065500,10/24/2009,38,A
USGS,50065500,10/25/2009,36,A
USGS,50065500,10/26/2009,35,A
USGS,50065500,10/27/2009,34,A
USGS,50065500,10/28/2009,38,A
USGS,50065500,10/29/2009,39,A
USGS,50065500,10/30/2009,35,A
USGS,50065500,10/31/2009,32,A
USGS,50065500,11/1/2009,51,A
USGS,50065500,11/2/2009,52,A
USGS,50065500,11/3/2009,38,A
USGS,50065500,11/4/2009,113,A
USGS,50065500,11/5/2009,65,A
USGS,50065500,11/6/2009,54,A
USGS,50065500,11/7/2009,57,A
USGS,50065500,11/8/2009,88,A
USGS,50065500,11/9/2009,185,A
USGS,50065500,11/10/2009,204,A
USGS,50065500,11/11/2009,85,A
USGS,50065500,11/12/2009,58,A
USGS,50065500,11/13/2009,46,A
USGS,50065500,11/14/2009,42,A
USGS,50065500,11/15/2009,41,A
USGS,50065500,11/16/2009,82,A
USGS,50065500,11/17/2009,88,A
USGS,50065500,11/18/2009,53,A
USGS,50065500,11/19/2009,64,A
USGS,50065500,11/20/2009,75,A
USGS,50065500,11/21/2009,43,A
USGS,50065500,11/22/2009,60,A
USGS,50065500,11/23/2009,40,A
USGS,50065500,11/24/2009,47,A
USGS,50065500,11/25/2009,67,A
USGS,50065500,11/26/2009,43,A
USGS,50065500,11/27/2009,33,A
USGS,50065500,11/28/2009,28,A
USGS,50065500,11/29/2009,26,A
USGS,50065500,11/30/2009,24,A
USGS,50065500,12/1/2009,26,A
USGS,50065500,12/2/2009,27,A
USGS,50065500,12/3/2009,24,A
USGS,50065500,12/4/2009,28,A
USGS,50065500,12/5/2009,30,A
USGS,50065500,12/6/2009,28,A
USGS,50065500,12/7/2009,28,A
USGS,50065500,12/8/2009,28,A
USGS,50065500,12/9/2009,22,A
USGS,50065500,12/10/2009,63,A
USGS,50065500,12/11/2009,43,A
USGS,50065500,12/12/2009,34,A
USGS,50065500,12/13/2009,28,A
USGS,50065500,12/14/2009,24,A
USGS,50065500,12/15/2009,22,A
USGS,50065500,12/16/2009,26,A
USGS,50065500,12/17/2009,22,A
USGS,50065500,12/18/2009,18,A
USGS,50065500,12/19/2009,25,A
USGS,50065500,12/20/2009,18,A
USGS,50065500,12/21/2009,16,A
USGS,50065500,12/22/2009,15,A
USGS,50065500,12/23/2009,14,A
USGS,50065500,12/24/2009,150,A
USGS,50065500,12/25/2009,89,A
USGS,50065500,12/26/2009,21,A
USGS,50065500,12/27/2009,17,A
USGS,50065500,12/28/2009,17,A
USGS,50065500,12/29/2009,15,A
USGS,50065500,12/30/2009,209,A
USGS,50065500,12/31/2009,168,A
USGS,50065500,1/1/2010,115,A
USGS,50065500,1/2/2010,39,A
USGS,50065500,1/3/2010,30,A
USGS,50065500,1/4/2010,26,A
USGS,50065500,1/5/2010,23,A
USGS,50065500,1/6/2010,29,A
USGS,50065500,1/7/2010,165,A
USGS,50065500,1/8/2010,152,A
USGS,50065500,1/9/2010,44,A
USGS,50065500,1/10/2010,32,A
USGS,50065500,1/11/2010,28,A
USGS,50065500,1/12/2010,25,A
USGS,50065500,1/13/2010,25,A
USGS,50065500,1/14/2010,524,A
USGS,50065500,1/15/2010,490,A
USGS,50065500,1/16/2010,193,A
USGS,50065500,1/17/2010,176,A
USGS,50065500,1/18/2010,190,A
USGS,50065500,1/19/2010,84,A
USGS,50065500,1/20/2010,72,A
USGS,50065500,1/21/2010,57,A
USGS,50065500,1/22/2010,108,A
USGS,50065500,1/23/2010,62,A
USGS,50065500,1/24/2010,45,A
USGS,50065500,1/25/2010,92,A
USGS,50065500,1/26/2010,56,A
USGS,50065500,1/27/2010,41,A
USGS,50065500,1/28/2010,40,A
USGS,50065500,1/29/2010,36,A
USGS,50065500,1/30/2010,33,A
USGS,50065500,1/31/2010,55,A
USGS,50065500,2/1/2010,38,A
USGS,50065500,2/2/2010,42,A
USGS,50065500,2/3/2010,30,A
USGS,50065500,2/4/2010,28,A
USGS,50065500,2/5/2010,29,A
USGS,50065500,2/6/2010,25,A
USGS,50065500,2/7/2010,24,A
USGS,50065500,2/8/2010,22,A
USGS,50065500,2/9/2010,22,A
USGS,50065500,2/10/2010,21,A
USGS,50065500,2/11/2010,20,A
USGS,50065500,2/12/2010,22,A
USGS,50065500,2/13/2010,20,A
USGS,50065500,2/14/2010,19,A
USGS,50065500,2/15/2010,19,A
USGS,50065500,2/16/2010,18,A
USGS,50065500,2/17/2010,18,A
USGS,50065500,2/18/2010,17,A
USGS,50065500,2/19/2010,212,A
USGS,50065500,2/20/2010,175,A
USGS,50065500,2/21/2010,94,A
USGS,50065500,2/22/2010,51,A
USGS,50065500,2/23/2010,44,A
USGS,50065500,2/24/2010,29,A
USGS,50065500,2/25/2010,26,A
USGS,50065500,2/26/2010,77,A
USGS,50065500,2/27/2010,193,A
USGS,50065500,2/28/2010,70,A
USGS,50065500,3/1/2010,42,A
USGS,50065500,3/2/2010,36,A
USGS,50065500,3/3/2010,32,A
USGS,50065500,3/4/2010,29,A
USGS,50065500,3/5/2010,31,A
USGS,50065500,3/6/2010,122,A
USGS,50065500,3/7/2010,232,A
USGS,50065500,3/8/2010,129,A
USGS,50065500,3/9/2010,54,A
USGS,50065500,3/10/2010,68,A
USGS,50065500,3/11/2010,316,A
USGS,50065500,3/12/2010,159,A
USGS,50065500,3/13/2010,78,A
USGS,50065500,3/14/2010,55,A
USGS,50065500,3/15/2010,43,A
USGS,50065500,3/16/2010,37,A
USGS,50065500,3/17/2010,34,A
USGS,50065500,3/18/2010,31,A
USGS,50065500,3/19/2010,29,A
USGS,50065500,3/20/2010,28,A
USGS,50065500,3/21/2010,27,A
USGS,50065500,3/22/2010,27,A
USGS,50065500,3/23/2010,26,A
USGS,50065500,3/24/2010,24,A
USGS,50065500,3/25/2010,24,A
USGS,50065500,3/26/2010,25,A
USGS,50065500,3/27/2010,25,A
USGS,50065500,3/28/2010,25,A
USGS,50065500,3/29/2010,23,A
USGS,50065500,3/30/2010,22,A
USGS,50065500,3/31/2010,22,A
USGS,50065500,4/1/2010,20,A
USGS,50065500,4/2/2010,34,A
USGS,50065500,4/3/2010,22,A
USGS,50065500,4/4/2010,19,A
USGS,50065500,4/5/2010,18,A
USGS,50065500,4/6/2010,29,A
USGS,50065500,4/7/2010,25,A
USGS,50065500,4/8/2010,26,A
USGS,50065500,4/9/2010,24,A
USGS,50065500,4/10/2010,27,A
USGS,50065500,4/11/2010,35,A
USGS,50065500,4/12/2010,84,A
USGS,50065500,4/13/2010,556,A
USGS,50065500,4/14/2010,532,A
USGS,50065500,4/15/2010,276,A
USGS,50065500,4/16/2010,84,A
USGS,50065500,4/17/2010,93,A
USGS,50065500,4/18/2010,54,A
USGS,50065500,4/19/2010,34,A
USGS,50065500,4/20/2010,28,A
USGS,50065500,4/21/2010,23,A
USGS,50065500,4/22/2010,22,A
USGS,50065500,4/23/2010,130,A
USGS,50065500,4/24/2010,531,A
USGS,50065500,4/25/2010,90,A
USGS,50065500,4/26/2010,53,A
USGS,50065500,4/27/2010,39,A
USGS,50065500,4/28/2010,31,A
USGS,50065500,4/29/2010,26,A
USGS,50065500,4/30/2010,23,A
USGS,50065500,5/1/2010,21,A
USGS,50065500,5/2/2010,307,A
USGS,50065500,5/3/2010,76,A
USGS,50065500,5/4/2010,84,A
USGS,50065500,5/5/2010,39,A
USGS,50065500,5/6/2010,29,A
USGS,50065500,5/7/2010,107,A
USGS,50065500,5/8/2010,555,A
USGS,50065500,5/9/2010,244,A
USGS,50065500,5/10/2010,94,A
USGS,50065500,5/11/2010,74,A
USGS,50065500,5/12/2010,88,A
USGS,50065500,5/13/2010,192,A
USGS,50065500,5/14/2010,108,A
USGS,50065500,5/15/2010,71,A
USGS,50065500,5/16/2010,71,A
USGS,50065500,5/17/2010,204,A
USGS,50065500,5/18/2010,195,A
USGS,50065500,5/19/2010,84,A
USGS,50065500,5/20/2010,94,A
USGS,50065500,5/21/2010,51,A
USGS,50065500,5/22/2010,42,A
USGS,50065500,5/23/2010,51,A
USGS,50065500,5/24/2010,42,A
USGS,50065500,5/25/2010,120,A
USGS,50065500,5/26/2010,72,A
USGS,50065500,5/27/2010,57,A
USGS,50065500,5/28/2010,201,A
USGS,50065500,5/29/2010,101,A
USGS,50065500,5/30/2010,271,A
USGS,50065500,5/31/2010,118,A
USGS,50065500,6/1/2010,260,A
USGS,50065500,6/2/2010,82,A
USGS,50065500,6/3/2010,68,A:e
USGS,50065500,6/4/2010,39,A:e
USGS,50065500,6/5/2010,33,A
USGS,50065500,6/6/2010,33,A
USGS,50065500,6/7/2010,31,A
USGS,50065500,6/8/2010,26,A
USGS,50065500,6/9/2010,26,A
USGS,50065500,6/10/2010,24,A
USGS,50065500,6/11/2010,24,A
USGS,50065500,6/12/2010,39,A
USGS,50065500,6/13/2010,48,A
USGS,50065500,6/14/2010,29,A
USGS,50065500,6/15/2010,37,A
USGS,50065500,6/16/2010,33,A
USGS,50065500,6/17/2010,84,A
USGS,50065500,6/18/2010,80,A
USGS,50065500,6/19/2010,299,A
USGS,50065500,6/20/2010,168,A
USGS,50065500,6/21/2010,177,A
USGS,50065500,6/22/2010,165,A
USGS,50065500,6/23/2010,121,A
USGS,50065500,6/24/2010,150,A
USGS,50065500,6/25/2010,102,A
USGS,50065500,6/26/2010,98,A
USGS,50065500,6/27/2010,61,A
USGS,50065500,6/28/2010,44,A
USGS,50065500,6/29/2010,59,A
USGS,50065500,6/30/2010,59,A
USGS,50065500,7/1/2010,72,A
USGS,50065500,7/2/2010,45,A
USGS,50065500,7/3/2010,39,A
USGS,50065500,7/4/2010,35,A
USGS,50065500,7/5/2010,60,A
USGS,50065500,7/6/2010,95,A
USGS,50065500,7/7/2010,87,A
USGS,50065500,7/8/2010,47,A
USGS,50065500,7/9/2010,43,A
USGS,50065500,7/10/2010,55,A
USGS,50065500,7/11/2010,65,A
USGS,50065500,7/12/2010,65,A
USGS,50065500,7/13/2010,58,A
USGS,50065500,7/14/2010,63,A
USGS,50065500,7/15/2010,79,A
USGS,50065500,7/16/2010,225,A
USGS,50065500,7/17/2010,141,A
USGS,50065500,7/18/2010,72,A:e
USGS,50065500,7/19/2010,347,A:e
USGS,50065500,7/20/2010,326,A:e
USGS,50065500,7/21/2010,160,A:e
USGS,50065500,7/22/2010,152,A:e
USGS,50065500,7/23/2010,112,A:e
USGS,50065500,7/24/2010,70,A:e
USGS,50065500,7/25/2010,58,A:e
USGS,50065500,7/26/2010,51,A:e
USGS,50065500,7/27/2010,58,A:e
USGS,50065500,7/28/2010,61,A:e
USGS,50065500,7/29/2010,65,A:e
USGS,50065500,7/30/2010,53,A:e
USGS,50065500,7/31/2010,43,A:e
USGS,50065500,8/1/2010,40,A:e
USGS,50065500,8/2/2010,50,A:e
USGS,50065500,8/3/2010,60,A:e
USGS,50065500,8/4/2010,43,A:e
USGS,50065500,8/5/2010,36,A:e
USGS,50065500,8/6/2010,36,A:e
USGS,50065500,8/7/2010,33,A:e
USGS,50065500,8/8/2010,44,A:e
USGS,50065500,8/9/2010,64,A:e
USGS,50065500,8/10/2010,111,A:e
USGS,50065500,8/11/2010,146,A:e
USGS,50065500,8/12/2010,57,A:e
USGS,50065500,8/13/2010,43,A:e
USGS,50065500,8/14/2010,55,A:e
USGS,50065500,8/15/2010,99,A:e
USGS,50065500,8/16/2010,49,A:e
USGS,50065500,8/17/2010,63,A:e
USGS,50065500,8/18/2010,44,A:e
USGS,50065500,8/19/2010,36,A:e
USGS,50065500,8/20/2010,36,A:e
USGS,50065500,8/21/2010,34,A:e
USGS,50065500,8/22/2010,34,A:e
USGS,50065500,8/23/2010,38,A:e
USGS,50065500,8/24/2010,37,A:e
USGS,50065500,8/25/2010,48,A:e
USGS,50065500,8/26/2010,42,A:e
USGS,50065500,8/27/2010,34,A:e
USGS,50065500,8/28/2010,30,A:e
USGS,50065500,8/29/2010,29,A:e
USGS,50065500,8/30/2010,234,A:e
USGS,50065500,8/31/2010,82,A:e
USGS,50065500,9/1/2010,42,A:e
USGS,50065500,9/2/2010,30,A:e
USGS,50065500,9/3/2010,27,A:e
USGS,50065500,9/4/2010,26,A:e
USGS,50065500,9/5/2010,27,A:e
USGS,50065500,9/6/2010,32,A:e
USGS,50065500,9/7/2010,221,A:e
USGS,50065500,9/8/2010,73,A:e
USGS,50065500,9/9/2010,33,A:e
USGS,50065500,9/10/2010,33,A:e
USGS,50065500,9/11/2010,83,A:e
USGS,50065500,9/12/2010,93,A:e
USGS,50065500,9/13/2010,47,A:e
USGS,50065500,9/14/2010,34,A:e
USGS,50065500,9/15/2010,73,A:e
USGS,50065500,9/16/2010,42,A:e
USGS,50065500,9/17/2010,42,A:e
USGS,50065500,9/18/2010,31,A:e
USGS,50065500,9/19/2010,29,A:e
USGS,50065500,9/20/2010,39,A:e
USGS,50065500,9/21/2010,39,A:e
USGS,50065500,9/22/2010,27,A:e
USGS,50065500,9/23/2010,27,A:e
USGS,50065500,9/24/2010,135,A:e
USGS,50065500,9/25/2010,62,A:e
USGS,50065500,9/26/2010,33,A:e
USGS,50065500,9/27/2010,30,A:e
USGS,50065500,9/28/2010,39,A:e
USGS,50065500,9/29/2010,35,A:e
USGS,50065500,9/30/2010,28,A:e
USGS,50065500,10/1/2010,23,A:e
USGS,50065500,10/2/2010,20,A:e
USGS,50065500,10/3/2010,28,A:e
